Hugo_Symbol,Tissue,PD
APC,0.6785714285714286,0.34523809523809523
TP53,0.6904761904761905,0.2976190476190476
KRAS,0.4880952380952381,0.23809523809523808
SMAD4,0.09523809523809523,0.05952380952380952
FBXW7,0.07142857142857142,0.047619047619047616
NRAS,0.08333333333333333,0.03571428571428571
BRAF,0.047619047619047616,0.05952380952380952
PIK3CA,0.09523809523809523,0.011904761904761904
PTEN,0.047619047619047616,0.03571428571428571
RET,0.011904761904761904,0.023809523809523808
