Hugo_Symbol,Tissue,Baseline
APC,0.6785714285714286,0.44047619047619047
TP53,0.6547619047619048,0.30952380952380953
KRAS,0.4880952380952381,0.32142857142857145
SMAD4,0.09523809523809523,0.07142857142857142
FBXW7,0.07142857142857142,0.05952380952380952
BRAF,0.047619047619047616,0.047619047619047616
NRAS,0.07142857142857142,0.023809523809523808
PTEN,0.047619047619047616,0.03571428571428571
PIK3CA,0.08333333333333333,0.0
RET,0.011904761904761904,0.03571428571428571
