Hugo_Symbol,Baseline,PD
APC,0.44047619047619047,0.34523809523809523
TP53,0.34523809523809523,0.2976190476190476
KRAS,0.32142857142857145,0.23809523809523808
SMAD4,0.07142857142857142,0.05952380952380952
FBXW7,0.05952380952380952,0.047619047619047616
NRAS,0.047619047619047616,0.03571428571428571
BRAF,0.047619047619047616,0.05952380952380952
PIK3CA,0.023809523809523808,0.011904761904761904
PTEN,0.03571428571428571,0.03571428571428571
RET,0.047619047619047616,0.023809523809523808
